value,occ_title,class
5900,"office machine operators, except computer",Middle Income
5910,proofreaders and copy markers,Middle Income
5920,statistical assistants,High Income
5940,"miscellaneous office and administrative support workers, including desktop publishers",Middle Income
6005,"first-line supervisors of farming, fishing, and forestry workers",Middle Income
6010,agricultural inspectors,Middle Income
6040,"graders and sorters, agricultural products",Middle Income
6050,"miscellaneous agricultural workers, including animal breeders",Middle Income
6100,fishing and hunting workers,Middle Income
6120,forest and conservation workers,Middle Income
6130,logging workers,Middle Income
6200,first-line supervisors of construction trades and extraction workers,High Income
6210,boilermakers,High Income
6220,"brickmasons, blockmasons, stonemasons, and reinforcing iron and rebar workers",Middle Income
6230,carpenters,Middle Income
6240,"carpet, floor, and tile installers and finishers",Middle Income
6250,"cement masons, concrete finishers, and terrazzo workers",Middle Income
6260,construction laborers,Middle Income
6300,"paving, surfacing, and tamping equipment operators",Middle Income
6320,"construction equipment operators except paving, surfacing, and tamping equipment operators",Middle Income
6330,"drywall installers, ceiling tile installers, and tapers",Middle Income
6355,electricians,High Income
6360,glaziers,Middle Income
6400,insulation workers,Middle Income
6420,painters and paperhangers,Middle Income
6440,"pipelayers, plumbers, pipefitters, and steamfitters",High Income
6460,plasterers and stucco masons,Middle Income
6515,roofers,Middle Income
6520,sheet metal workers,Middle Income
6530,structural iron and steel workers,High Income
6600,"helpers, construction trades",Middle Income
6660,construction and building inspectors,High Income
6700,elevator installers and repairers,High Income
6710,fence erectors,Middle Income
6720,hazardous materials removal workers,Middle Income
6730,highway maintenance workers,Middle Income
6740,rail-track laying and maintenance equipment operators,High Income
6765,"miscellaneous construction workers, including solar photovoltaic installers, septic tank servicers and sewer pipe cleaners",Middle Income
6800,"derrick, rotary drill, and service unit operators, and roustabouts, oil, gas, and mining",Middle Income
6820,"earth drillers, except oil and gas",Middle Income
6830,"explosives workers, ordnance handling experts, and blasters",High Income
6840,mining machine operators,High Income
6940,"miscellaneous extraction workers, including roof bolters and helpers",Middle Income
7000,"first-line supervisors of mechanics, installers, and repairers",High Income
7010,"computer, automated teller, and office machine repairers",Middle Income
7020,radio and telecommunications equipment installers and repairers,High Income
7030,avionics technicians,High Income
7040,"electric motor, power tool, and related repairers",Middle Income
7100,"electrical and electronics repairers, transportation equipment, and industrial and utility",High Income
7110,"electronic equipment installers and repairers, motor vehicles",Middle Income
7120,electronic home entertainment equipment installers and repairers,Middle Income
7130,security and fire alarm systems installers,Middle Income
7140,aircraft mechanics and service technicians,High Income
7150,automotive body and related repairers,Middle Income
7160,automotive glass installers and repairers,Middle Income
7200,automotive service technicians and mechanics,Middle Income
7210,bus and truck mechanics and diesel engine specialists,Middle Income
7220,heavy vehicle and mobile equipment service technicians and mechanics,High Income
7240,small engine mechanics,Middle Income
7260,"miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",Middle Income
7300,control and valve installers and repairers,Middle Income
7315,"heating, air conditioning, and refrigeration mechanics and installers",Middle Income
7320,home appliance repairers,Middle Income
7330,industrial and refractory machinery mechanics,High Income
7340,"maintenance and repair workers, general",Middle Income
7350,"maintenance workers, machinery",Middle Income
7360,millwrights,High Income
7410,electrical power-line installers and repairers,High Income
7420,telecommunications line installers and repairers,Middle Income
7430,precision instrument and equipment repairers,Middle Income
7510,"coin, vending, and amusement machine servicers and repairers",Middle Income
7540,locksmiths and safe repairers,Middle Income
7560,riggers,Middle Income
7610,"helpers--installation, maintenance, and repair workers",Middle Income
7630,"miscellaneous installation, maintenance, and repair workers, including wind turbine service technicians",Middle Income
7700,first-line supervisors of production and operating workers,High Income
7710,"aircraft structure, surfaces, rigging, and systems assemblers",High Income
7720,"electrical, electronics, and electromechanical assemblers",Middle Income
7730,engine and other machine assemblers,Middle Income
7740,structural metal fabricators and fitters,Middle Income
7750,miscellaneous assemblers and fabricators,Middle Income
7800,bakers,Middle Income
7810,"butchers and other meat, poultry, and fish processing workers",Middle Income
7830,"food and tobacco roasting, baking, and drying machine operators and tenders",Middle Income
7840,food batchmakers,Middle Income
7850,food cooking machine operators and tenders,Middle Income
7855,"food processing workers, all other",Middle Income
7900,computer control programmers and operators,Middle Income
7920,"extruding and drawing machine setters, operators, and tenders, metal and plastic",Middle Income
7930,"forging machine setters, operators, and tenders, metal and plastic",Middle Income
7940,"rolling machine setters, operators, and tenders, metal and plastic",Middle Income
7950,"machine tool cutting setters, operators, and tenders, metal and plastic",Middle Income
8030,machinists,Middle Income
8040,"metal furnace operators, tenders, pourers, and casters",Middle Income
8100,"model makers, patternmakers, and molding machine setters, metal and plastic",Middle Income
8130,tool and die makers,High Income
8140,"welding, soldering, and brazing workers",Middle Income
8220,"miscellaneous metal workers and plastic workers, including multiple machine tool setters",Middle Income
8250,prepress technicians and workers,Middle Income
8255,printing press operators,Middle Income
8256,print binding and finishing workers,Middle Income
8300,laundry and dry-cleaning workers,Low Income
8310,"pressers, textile, garment, and related materials",Low Income
8320,sewing machine operators,Middle Income
8330,shoe and leather workers,Middle Income
8350,"tailors, dressmakers, and sewers",Middle Income
8400,"textile bleaching and dyeing, and cutting machine setters, operators, and tenders",Middle Income
8410,"textile knitting and weaving machine setters, operators, and tenders",Middle Income
8420,"textile winding, twisting, and drawing out machine setters, operators, and tenders",Middle Income
8450,upholsterers,Middle Income
8460,"miscellaneous textile, apparel, and furnishings workers except upholsterers",Middle Income
8500,cabinetmakers and bench carpenters,Middle Income
8510,furniture finishers,Middle Income
8530,"sawing machine setters, operators, and tenders, wood",Middle Income
8540,"woodworking machine setters, operators, and tenders, except sawing",Middle Income
8550,"miscellaneous woodworkers, including model makers and patternmakers",Middle Income
8600,"power plant operators, distributors, and dispatchers",High Income
8610,stationary engineers and boiler operators,High Income
8620,water and wastewater treatment plant and system operators,Middle Income
8630,miscellaneous plant and system operators,High Income
8640,"chemical processing machine setters, operators, and tenders",Middle Income
8650,"crushing, grinding, polishing, mixing, and blending workers",Middle Income
8710,cutting workers,Middle Income
8720,"extruding, forming, pressing, and compacting machine setters, operators, and tenders",Middle Income
8730,"furnace, kiln, oven, drier, and kettle operators and tenders",Middle Income
8740,"inspectors, testers, sorters, samplers, and weighers",Middle Income
8750,jewelers and precious stone and metal workers,Middle Income
8760,"medical, dental, and ophthalmic laboratory technicians",Middle Income
8800,packaging and filling machine operators and tenders,Middle Income
8810,painting workers,Middle Income
8830,photographic process workers and processing machine operators,Middle Income
8850,adhesive bonding machine operators and tenders,Middle Income
8910,etchers and engravers,Middle Income
8920,"molders, shapers, and casters, except metal and plastic",Middle Income
8930,"paper goods machine setters, operators, and tenders",Middle Income
8940,tire builders,Middle Income
8950,helpers--production workers,Middle Income
8965,"miscellaneous production workers, including semiconductor processors",Middle Income
9000,supervisors of transportation and material moving workers,High Income
9030,aircraft pilots and flight engineers,High Income
9040,air traffic controllers and airfield operations specialists,High Income
9050,flight attendants,High Income
9110,"ambulance drivers and attendants, except emergency medical technicians",Middle Income
9120,bus drivers,Middle Income
9130,driver/sales workers and truck drivers,Middle Income
9140,taxi drivers and chauffeurs,Middle Income
9150,"motor vehicle operators, all other",Middle Income
9200,locomotive engineers and operators,High Income
9240,railroad conductors and yardmasters,High Income
9260,"subway, streetcar, and other rail transportation workers",High Income
9300,"sailors and marine oilers, and ship engineers",Middle Income
9310,ship and boat captains and operators,High Income
9350,parking lot attendants,Middle Income
9360,automotive and watercraft service attendants,Middle Income
9410,transportation inspectors,High Income
9420,"miscellaneous transportation workers, including bridge and lock tenders and traffic technicians",Middle Income
9415,"transportation attendants, except flight attendants",Middle Income
9510,crane and tower operators,High Income
9520,"dredge, excavating, and loading machine operators",Middle Income
9560,"conveyor operators and tenders, and hoist and winch operators",Middle Income
9600,industrial truck and tractor operators,Middle Income
9610,cleaners of vehicles and equipment,Middle Income
9620,"laborers and freight, stock, and material movers, hand",Middle Income
9630,machine feeders and offbearers,Middle Income
9640,"packers and packagers, hand",Middle Income
9650,pumping station operators,Middle Income
9720,refuse and recyclable material collectors,Middle Income
9750,"miscellaneous material moving workers, including mine shuttle car operators, and tank car, truck, and ship loaders",Middle Income
9840,military specific occupations,Middle Income
