,value,occ_title,Unnamed: 0,occ_code,occ_group,tot_emp,emp_prse,h_mean,a_mean,mean_prse,h_pct10,h_pct25,h_median,h_pct75,h_pct90,a_pct10,a_pct25,a_median,a_pct75,a_pct90,annual,hourly,class
20,340.0,lodging managers,54.0,11-9080,broad,"36,610",2.4,28.67,"59,620",1.0,13.91,18.03,24.90,34.30,47.29,"28,930","37,500","51,800","71,340","98,370",,,Middle Income
21,350.0,medical and health services managers,56.0,11-9110,broad,"346,980",0.5,53.69,"111,680",0.4,28.05,36.22,47.29,62.00,84.68,"58,350","75,340","98,350","128,960","176,130",,,High Income
22,360.0,natural sciences managers,58.0,11-9120,broad,"56,210",2.2,64.26,"133,670",1.1,29.84,42.75,57.20,76.80,#,"62,080","88,920","118,970","159,750",#,,,High Income
23,410.0,"property, real estate, and community association managers",62.0,11-9140,broad,"186,720",1.2,34.79,"72,370",0.8,14.18,19.89,28.21,41.30,61.84,"29,500","41,370","58,670","85,900","128,630",,,Middle Income
24,420.0,social and community service managers,64.0,11-9150,broad,"141,830",1.4,33.91,"70,530",0.6,19.10,23.94,30.82,40.63,52.88,"39,730","49,800","64,100","84,500","109,990",,,Middle Income
25,425.0,emergency management directors,66.0,11-9160,broad,"9,560",1.6,39.01,"81,140",1.2,18.40,24.76,34.98,49.68,68.09,"38,270","51,510","72,760","103,340","141,620",,,Middle Income
26,430.0,"miscellaneous managers, including funeral service managers and postmasters and mail superintendents",,,,,,,,,,,,,,,,,,,,,
27,500.0,"agents and business managers of artists, performers, and athletes",72.0,13-1010,broad,"15,450",4.1,43.69,"90,870",3.9,14.91,21.09,31.22,50.00,96.30,"31,020","43,870","64,940","104,010","200,310",,,Middle Income
28,510.0,"buyers and purchasing agents, farm products",,,,,,,,,,,,,,,,,,,,,
29,520.0,"wholesale and retail buyers, except farm products",,,,,,,,,,,,,,,,,,,,,
30,530.0,"purchasing agents, except wholesale, retail, and farm products",,,,,,,,,,,,,,,,,,,,,
31,540.0,"claims adjusters, appraisers, examiners, and investigators",76.0,13-1030,broad,"298,170",1.3,31.85,"66,250",0.6,18.84,23.65,31.10,38.39,46.57,"39,180","49,190","64,690","79,850","96,880",,,Middle Income
32,565.0,compliance officers,79.0,13-1040,broad,"287,130",0.7,34.39,"71,540",0.4,18.35,24.18,32.63,42.89,51.45,"38,170","50,290","67,870","89,210","107,010",,,Middle Income
33,600.0,cost estimators,81.0,13-1050,broad,"210,900",0.8,32.90,"68,420",0.3,17.79,23.42,30.34,39.58,50.97,"37,000","48,710","63,110","82,330","106,010",,,Middle Income
34,630.0,human resources workers,83.0,13-1070,broad,"633,250",0.5,31.79,"66,120",0.3,16.40,21.80,29.12,38.79,50.34,"34,110","45,340","60,570","80,690","104,720",,,Middle Income
35,640.0,"compensation, benefits, and job analysis specialists",95.0,13-1140,broad,"80,530",1.1,32.29,"67,160",0.4,18.68,23.31,30.14,38.50,48.94,"38,860","48,490","62,680","80,070","101,800",,,Middle Income
36,650.0,training and development specialists,97.0,13-1150,broad,"280,340",0.8,31.11,"64,700",0.3,15.94,21.22,29.02,38.65,49.20,"33,150","44,140","60,360","80,390","102,340",,,Middle Income
37,700.0,logisticians,87.0,13-1080,broad,"159,800",1.0,37.86,"78,740",0.4,21.55,27.64,35.86,46.30,57.75,"44,820","57,490","74,590","96,310","120,120",,,Middle Income
38,710.0,management analysts,89.0,13-1110,broad,"659,200",0.8,44.92,"93,440",0.4,22.66,29.62,39.64,53.17,73.18,"47,140","61,610","82,450","110,600","152,210",,,Middle Income
39,725.0,"meeting, convention, and event planners",91.0,13-1120,broad,"102,420",1.5,25.30,"52,630",0.8,12.69,17.15,23.22,30.67,39.89,"26,390","35,680","48,290","63,800","82,980",,,Middle Income
40,726.0,fundraisers,93.0,13-1130,broad,"72,920",1.4,28.81,"59,930",0.8,15.92,20.43,26.75,35.26,45.33,"33,120","42,500","55,640","73,350","94,280",,,Middle Income
41,735.0,market research analysts and marketing specialists,99.0,13-1160,broad,"596,450",0.8,34.35,"71,450",0.4,16.59,22.34,30.40,42.89,59.03,"34,510","46,460","63,230","89,200","122,770",,,Middle Income
42,740.0,"business operations specialists, all other",102.0,13-1199,detailed,"1,001,420",0.5,36.42,"75,740",0.2,18.29,24.93,33.66,44.90,57.92,"38,050","51,860","70,010","93,380","120,460",,,Middle Income
43,800.0,accountants and auditors,104.0,13-2010,broad,"1,241,000",0.7,37.46,"77,920",0.4,20.68,26.08,33.34,44.12,58.76,"43,020","54,250","69,350","91,770","122,220",,,Middle Income
44,810.0,appraisers and assessors of real estate,106.0,13-2020,broad,"58,880",2.4,29.25,"60,830",1.2,13.67,18.89,25.97,36.65,48.90,"28,440","39,280","54,010","76,240","101,710",,,Middle Income
45,820.0,budget analysts,108.0,13-2030,broad,"54,550",1.0,37.83,"78,680",0.6,23.82,28.93,36.17,45.56,54.68,"49,540","60,170","75,240","94,770","113,740",,,Middle Income
46,830.0,credit analysts,110.0,13-2040,broad,"74,850",1.7,39.86,"82,900",0.9,20.20,25.76,34.27,47.62,67.73,"42,010","53,590","71,290","99,040","140,880",,,Middle Income
47,840.0,financial analysts,113.0,13-2051,detailed,"294,110",1.3,47.80,"99,430",0.9,24.89,30.96,40.53,55.28,79.60,"51,780","64,390","84,300","114,980","165,580",,,Middle Income
48,850.0,personal financial advisors,114.0,13-2052,detailed,"200,920",1.4,59.68,"124,140",1.0,19.62,27.59,43.58,78.21,#,"40,800","57,380","90,640","162,680",#,,,High Income
49,860.0,insurance underwriters,115.0,13-2053,detailed,"89,910",2.3,37.34,"77,660",0.8,20.09,25.42,33.54,45.24,59.45,"41,800","52,880","69,760","94,100","123,660",,,Middle Income
50,900.0,financial examiners,116.0,13-2060,broad,"52,580",1.8,44.12,"91,780",0.7,22.79,29.37,39.28,54.47,73.97,"47,400","61,090","81,690","113,300","153,850",,,Middle Income
51,910.0,credit counselors and loan officers,118.0,13-2070,broad,"343,150",1.0,36.03,"74,940",0.6,15.44,21.00,29.73,43.50,62.87,"32,120","43,680","61,840","90,480","130,770",,,Middle Income
52,930.0,"tax examiners and collectors, and revenue agents",122.0,13-2081,detailed,"56,660",0.3,28.43,"59,140",0.3,15.26,19.56,25.54,35.41,48.07,"31,730","40,680","53,130","73,650","99,990",,,Middle Income
53,940.0,tax preparers,123.0,13-2082,detailed,"68,720",3.0,22.64,"47,090",1.7,9.70,12.40,18.62,28.88,39.30,"20,170","25,800","38,730","60,080","81,740",,,Middle Income
54,950.0,"financial specialists, all other",125.0,13-2099,detailed,"125,900",1.1,36.84,"76,630",0.6,18.43,24.61,33.42,44.83,57.96,"38,340","51,190","69,520","93,240","120,550",,,Middle Income
55,1005.0,computer and information research scientists,128.0,15-1110,broad,"27,920",3.4,57.49,"119,570",1.4,31.51,42.67,55.06,70.02,84.99,"65,540","88,760","114,520","145,630","176,780",,,High Income
56,1006.0,computer systems analysts,131.0,15-1121,detailed,"581,960",1.0,44.59,"92,740",0.3,25.84,32.82,42.44,54.11,67.24,"53,750","68,260","88,270","112,540","139,850",,,Middle Income
57,1007.0,information security analysts,132.0,15-1122,detailed,"105,250",2.2,47.93,"99,690",0.6,26.71,34.68,45.92,59.22,73.60,"55,560","72,130","95,510","123,180","153,090",,,Middle Income
58,1010.0,computer programmers,134.0,15-1131,detailed,"247,690",1.9,42.08,"87,530",1.0,22.64,30.22,39.54,51.24,63.72,"47,090","62,860","82,240","106,580","132,530",,,Middle Income
59,1020.0,"software developers, applications and systems software",,,,,,,,,,,,,,,,,,,,,
60,1030.0,web developers,137.0,15-1134,detailed,"125,890",1.3,35.63,"74,110",0.6,17.71,23.74,32.69,45.03,58.81,"36,830","49,380","67,990","93,670","122,320",,,Middle Income
61,1050.0,computer support specialists,142.0,15-1150,broad,"800,010",0.7,27.53,"57,260",0.3,15.30,19.40,25.39,33.43,43.85,"31,820","40,350","52,810","69,530","91,220",,,Middle Income
62,1060.0,database administrators,139.0,15-1141,detailed,"113,690",1.1,42.81,"89,050",0.3,23.31,30.70,41.84,54.18,63.66,"48,480","63,850","87,020","112,700","132,420",,,Middle Income
63,1105.0,network and computer systems administrators,140.0,15-1142,detailed,"375,040",0.8,41.51,"86,340",0.3,23.96,30.30,38.99,50.22,62.60,"49,830","63,020","81,100","104,460","130,200",,,Middle Income
64,1106.0,computer network architects,141.0,15-1143,detailed,"157,830",1.6,51.86,"107,870",0.5,27.96,37.53,50.31,63.68,78.07,"58,160","78,070","104,650","132,460","162,390",,,High Income
65,1107.0,"computer occupations, all other",146.0,15-1199,detailed,"315,830",0.9,43.79,"91,080",0.4,22.23,31.40,42.56,54.89,67.02,"46,240","65,320","88,510","114,180","139,390",,,Middle Income
66,1200.0,actuaries,148.0,15-2010,broad,"19,210",3.8,55.21,"114,850",1.2,28.82,36.04,48.83,67.70,88.83,"59,950","74,970","101,560","140,820","184,770",,,High Income
67,1220.0,operations research analysts,152.0,15-2030,broad,"106,050",2.2,41.59,"86,510",0.6,21.77,28.74,39.13,51.79,64.65,"45,270","59,780","81,390","107,720","134,470",,,Middle Income
68,1240.0,"miscellaneous mathematical science occupations, including mathematicians and statisticians",,,,,,,,,,,,,,,,,,,,,
69,1300.0,"architects, except naval",160.0,17-1010,broad,"122,160",1.4,40.82,"84,910",0.9,21.95,28.21,36.82,48.34,62.79,"45,660","58,680","76,590","100,550","130,610",,,Middle Income
70,1310.0,"surveyors, cartographers, and photogrammetrists",163.0,17-1020,broad,"54,870",1.7,31.60,"65,740",0.6,17.07,22.46,29.70,38.79,48.31,"35,510","46,720","61,770","80,680","100,470",,,Middle Income
71,1320.0,aerospace engineers,167.0,17-2010,broad,"65,760",3.0,55.43,"115,300",0.7,34.06,42.42,54.34,67.51,77.94,"70,840","88,240","113,030","140,420","162,110",,,High Income
72,1340.0,biomedical and agricultural engineers,,,,,,,,,,,,,,,,,,,,,
73,1350.0,chemical engineers,173.0,17-2040,broad,"33,500",2.8,54.05,"112,430",1.5,29.92,37.99,49.12,63.00,81.29,"62,230","79,030","102,160","131,030","169,080",,,High Income
74,1360.0,civil engineers,175.0,17-2050,broad,"298,910",1.2,44.13,"91,790",0.4,26.04,31.86,40.75,52.85,66.40,"54,150","66,260","84,770","109,930","138,110",,,Middle Income
75,1400.0,computer hardware engineers,177.0,17-2060,broad,"66,770",4.6,57.52,"119,650",1.4,31.87,42.26,55.35,70.68,85.05,"66,290","87,910","115,120","147,020","176,900",,,High Income
76,1410.0,electrical and electronics engineers,179.0,17-2070,broad,"318,300",1.2,49.34,"102,620",0.4,29.65,36.69,47.10,59.78,74.61,"61,670","76,320","97,970","124,350","155,190",,,High Income
77,1420.0,environmental engineers,182.0,17-2080,broad,"52,640",1.8,43.83,"91,180",0.7,25.08,31.59,41.73,53.21,64.45,"52,160","65,710","86,800","110,680","134,060",,,Middle Income
78,1430.0,"industrial engineers, including health and safety",184.0,17-2110,broad,"291,660",1.0,43.51,"90,500",0.4,26.40,32.89,41.39,51.76,63.25,"54,920","68,420","86,090","107,650","131,560",,,Middle Income
79,1440.0,marine engineers and naval architects,187.0,17-2120,broad,"10,960",4.6,46.59,"96,910",1.5,30.76,35.30,43.74,55.66,69.98,"63,980","73,430","90,970","115,760","145,550",,,Middle Income
80,1450.0,materials engineers,189.0,17-2130,broad,"27,200",3.9,47.41,"98,610",1.3,27.44,34.80,45.48,58.83,72.05,"57,080","72,390","94,610","122,360","149,860",,,Middle Income
81,1460.0,mechanical engineers,191.0,17-2140,broad,"291,290",1.6,43.99,"91,500",0.4,26.59,32.82,41.29,52.20,64.37,"55,310","68,270","85,880","108,580","133,900",,,Middle Income
82,1520.0,"petroleum, mining and geological engineers, including mining safety engineers",,,,,,,,,,,,,,,,,,,,,
83,1530.0,"miscellaneous engineers, including nuclear engineers",,,,,,,,,,,,,,,,,,,,,
84,1540.0,drafters,202.0,17-3010,broad,"195,510",1.1,27.44,"57,080",0.4,16.52,20.53,26.04,32.64,40.47,"34,350","42,710","54,170","67,880","84,180",,,Middle Income
85,1550.0,"engineering technicians, except drafters",207.0,17-3020,broad,"427,140",0.9,29.11,"60,550",0.4,16.60,21.28,27.97,35.42,43.71,"34,530","44,260","58,170","73,680","90,920",,,Middle Income
86,1560.0,surveying and mapping technicians,216.0,17-3030,broad,"51,890",2.6,22.28,"46,350",0.6,12.82,16.15,20.84,27.40,34.34,"26,670","33,590","43,340","56,990","71,440",,,Middle Income
87,1600.0,agricultural and food scientists,220.0,19-1010,broad,"31,750",4.6,33.88,"70,480",1.1,18.22,23.20,30.25,40.47,56.02,"37,890","48,260","62,910","84,170","116,520",,,Middle Income
88,1610.0,biological scientists,224.0,19-1020,broad,"104,550",2.0,40.41,"84,060",1.4,20.46,26.45,36.04,48.37,65.55,"42,550","55,020","74,960","100,600","136,340",,,Middle Income
89,1640.0,conservation scientists and foresters,229.0,19-1030,broad,"30,340",1.4,30.76,"63,990",0.6,17.38,22.67,29.31,37.25,45.28,"36,150","47,150","60,970","77,480","94,190",,,Middle Income
90,1650.0,"medical scientists, and life scientists, all other",,,,,,,,,,,,,,,,,,,,,
91,1700.0,astronomers and physicists,238.0,19-2010,broad,"18,720",4.7,58.47,"121,620",1.5,27.38,39.25,56.36,74.49,90.50,"56,950","81,650","117,220","154,940","188,230",,,High Income
92,1710.0,atmospheric and space scientists,241.0,19-2020,broad,"8,940",3.5,45.05,"93,710",1.1,24.13,33.03,44.27,54.27,66.47,"50,180","68,700","92,070","112,880","138,250",,,Middle Income
93,1720.0,chemists and materials scientists,243.0,19-2030,broad,"91,880",2.1,40.14,"83,500",0.8,20.83,26.77,36.67,49.90,64.29,"43,330","55,680","76,280","103,800","133,730",,,Middle Income
94,1740.0,environmental scientists and geoscientists,246.0,19-2040,broad,"116,790",1.4,40.33,"83,890",0.7,20.68,26.49,35.51,48.40,64.20,"43,010","55,100","73,860","100,670","133,530",,,Middle Income
95,1760.0,"physical scientists, all other",251.0,19-2099,detailed,"17,320",2.5,51.53,"107,180",1.4,24.18,34.97,49.99,63.70,77.84,"50,300","72,740","103,990","132,490","161,900",,,High Income
96,1800.0,economists,253.0,19-3010,broad,"19,550",4.5,54.16,"112,650",1.3,27.11,36.35,49.27,66.59,82.97,"56,400","75,610","102,490","138,500","172,580",,,High Income
97,1820.0,psychologists,257.0,19-3030,broad,"121,870",1.3,39.79,"82,770",0.7,20.35,27.42,37.03,48.51,59.87,"42,330","57,040","77,030","100,900","124,520",,,Middle Income
98,1840.0,urban and regional planners,263.0,19-3050,broad,"35,310",1.4,35.75,"74,350",0.5,21.48,26.90,34.37,43.15,52.01,"44,680","55,960","71,490","89,760","108,170",,,Middle Income
99,1860.0,"miscellaneous social scientists, including survey researchers and sociologists",,,,,,,,,,,,,,,,,,,,,
100,1900.0,agricultural and food science technicians,272.0,19-4010,broad,"21,120",3.0,20.63,"42,910",1.0,12.67,15.42,19.19,24.00,30.16,"26,350","32,070","39,910","49,920","62,740",,,Middle Income
101,1910.0,biological technicians,274.0,19-4020,broad,"74,980",2.6,22.79,"47,410",0.6,14.00,16.69,21.06,27.17,33.92,"29,120","34,720","43,800","56,510","70,560",,,Middle Income
102,1920.0,chemical technicians,276.0,19-4030,broad,"64,550",1.9,24.52,"51,010",0.9,13.92,17.35,22.73,29.90,37.67,"28,960","36,090","47,280","62,190","78,350",,,Middle Income
103,1930.0,"geological and petroleum technicians, and nuclear technicians",,,,,,,,,,,,,,,,,,,,,
104,1965.0,"miscellaneous life, physical, and social science technicians, including social science research assistants",,,,,,,,,,,,,,,,,,,,,
105,2000.0,counselors,291.0,21-1010,broad,"687,150",0.7,24.36,"50,670",0.4,12.95,16.80,22.47,29.78,38.50,"26,930","34,950","46,740","61,950","80,080",,,Middle Income
106,2010.0,social workers,297.0,21-1020,broad,"644,290",0.8,24.82,"51,630",0.6,14.21,17.59,23.07,30.15,38.34,"29,560","36,590","47,980","62,710","79,740",,,Middle Income
107,2015.0,probation officers and correctional treatment specialists,304.0,21-1092,detailed,"87,700",0.8,27.23,"56,630",0.7,16.31,19.61,24.71,33.13,43.69,"33,920","40,800","51,410","68,900","90,880",,,Middle Income
108,2016.0,social and human service assistants,305.0,21-1093,detailed,"384,080",1.2,17.05,"35,460",0.9,10.33,12.56,15.92,20.15,25.66,"21,480","26,130","33,120","41,910","53,380",,,Middle Income
109,2025.0,"miscellaneous community and social service specialists, including health educators and community health workers",,,,,,,,,,,,,,,,,,,,,
110,2040.0,clergy,309.0,21-2010,broad,"49,850",1.8,24.43,"50,800",0.8,12.23,16.42,22.65,29.63,38.49,"25,430","34,150","47,100","61,630","80,060",,,Middle Income
111,2050.0,"directors, religious activities and education",311.0,21-2020,broad,"21,430",3.0,21.86,"45,470",1.7,9.71,12.58,18.74,27.30,39.70,"20,190","26,160","38,980","56,780","82,570",,,Middle Income
112,2060.0,"religious workers, all other",314.0,21-2099,detailed,"8,210",5.2,17.49,"36,380",4.0,9.15,10.26,14.09,19.46,28.76,"19,020","21,330","29,310","40,470","59,820",,,Middle Income
113,2100.0,"lawyers, and judges, magistrates, and other judicial workers",,,,,,,,,,,,,,,,,,,,,
114,2105.0,judicial law clerks,319.0,23-1012,detailed,"15,260",2.4,27.84,"57,920",2.8,15.86,19.46,24.68,31.72,46.75,"32,990","40,470","51,330","65,970","97,230",,,Middle Income
115,2145.0,paralegals and legal assistants,325.0,23-2010,broad,"290,410",1.1,25.92,"53,910",0.5,14.97,18.57,24.24,31.10,39.03,"31,130","38,630","50,410","64,680","81,180",,,Middle Income
116,2160.0,miscellaneous legal support workers,327.0,23-2090,broad,"112,700",2.0,28.36,"59,000",0.8,13.65,18.01,24.66,33.60,49.81,"28,400","37,450","51,290","69,880","103,600",,,Middle Income
117,2200.0,postsecondary teachers,332.0,25-1000,minor,"1,525,170",0.9,*,"82,880",1.0,*,*,*,*,*,"29,720","46,120","67,140","100,990","155,230",True,,Middle Income
118,2300.0,preschool and kindergarten teachers,383.0,25-2010,broad,"550,390",1.0,19.04,"39,600",1.0,9.91,11.93,16.13,23.90,32.42,"20,620","24,810","33,540","49,720","67,430",,,Middle Income
119,2310.0,elementary and middle school teachers,386.0,25-2020,broad,"2,043,520",0.6,*,"60,900",0.6,*,*,*,*,*,"37,690","45,570","57,350","73,570","92,440",True,,Middle Income
120,2320.0,secondary school teachers,390.0,25-2030,broad,"1,106,060",1.0,*,"62,730",0.5,*,*,*,*,*,"39,160","47,020","59,130","75,760","94,940",True,,Middle Income
121,2330.0,special education teachers,393.0,25-2050,broad,"474,890",0.9,*,"62,640",0.8,*,*,*,*,*,"38,280","46,570","58,710","75,360","95,370",True,,Middle Income
122,2340.0,other teachers and instructors,399.0,25-3000,minor,"1,204,930",0.9,18.89,"39,290",0.7,9.40,11.50,15.60,22.74,31.59,"19,550","23,930","32,460","47,290","65,710",,,Middle Income
123,2400.0,"archivists, curators, and museum technicians",408.0,25-4010,broad,"29,920",2.3,25.22,"52,450",1.0,12.62,16.75,22.77,30.90,41.03,"26,260","34,840","47,360","64,280","85,350",,,Middle Income
124,2430.0,librarians,412.0,25-4020,broad,"126,800",0.9,29.21,"60,760",0.4,16.49,21.97,28.14,35.56,44.05,"34,300","45,690","58,520","73,970","91,620",,,Middle Income
125,2440.0,library technicians,414.0,25-4030,broad,"90,030",1.5,17.07,"35,510",0.6,9.73,12.09,16.20,21.13,26.04,"20,240","25,150","33,690","43,940","54,170",,,Middle Income
126,2540.0,teacher assistants,423.0,25-9040,broad,"1,299,800",0.6,*,"27,950",0.4,*,*,*,*,*,"18,460","21,170","26,260","33,190","39,780",True,,Low Income
127,2550.0,"other education, training, and library workers",,,,,,,,,,,,,,,,,,,,,
128,2600.0,artists and related workers,429.0,27-1010,broad,"90,940",2.0,39.85,"82,900",0.7,16.50,24.56,35.62,49.56,68.19,"34,320","51,090","74,090","103,090","141,840",,,Middle Income
129,2630.0,designers,435.0,27-1020,broad,"507,030",0.9,23.42,"48,720",0.5,10.69,13.90,19.94,29.34,39.84,"22,240","28,910","41,480","61,030","82,880",,,Middle Income
130,2700.0,actors,446.0,27-2011,detailed,"43,470",6.1,32.89,*,3.8,8.97,11.01,17.49,33.59,89.08,*,*,*,*,*,,True,Middle Income
131,2710.0,producers and directors,447.0,27-2012,detailed,"117,520",1.9,43.64,"90,770",1.3,16.22,23.16,34.43,53.49,78.99,"33,730","48,170","71,620","111,270","164,290",,,Middle Income
132,2720.0,"athletes, coaches, umpires, and related workers",448.0,27-2020,broad,"265,160",1.4,*,"43,940",1.0,*,*,*,*,*,"18,660","22,060","32,200","51,230","77,410",True,,Middle Income
133,2740.0,dancers and choreographers,452.0,27-2030,broad,"15,240",5.7,20.41,"42,450",2.7,8.99,10.03,17.15,26.55,37.82,"18,690","20,870","35,680","55,230","78,670",,,Middle Income
134,2750.0,"musicians, singers, and related workers",455.0,27-2040,broad,"55,570",2.4,34.11,*,2.0,9.71,15.99,25.95,43.58,64.70,*,*,*,*,*,,True,Middle Income
135,2760.0,"entertainers and performers, sports and related workers, all other",459.0,27-2099,detailed,"11,440",17.7,23.15,*,3.0,9.39,11.37,17.09,26.97,42.83,*,*,*,*,*,,True,Middle Income
136,2800.0,announcers,461.0,27-3010,broad,"36,500",2.4,22.29,"46,350",1.7,9.00,10.71,15.15,23.94,39.90,"18,710","22,280","31,500","49,790","82,980",,,Middle Income
137,2810.0,"news analysts, reporters and correspondents",464.0,27-3020,broad,"44,480",2.5,27.04,"56,250",1.5,11.21,14.16,19.67,32.27,47.97,"23,320","29,460","40,910","67,130","99,770",,,Middle Income
138,2825.0,public relations specialists,467.0,27-3030,broad,"233,730",1.0,32.69,"67,990",0.5,15.79,20.94,28.51,38.92,53.97,"32,840","43,550","59,300","80,940","112,260",,,Middle Income
139,2830.0,editors,470.0,27-3041,detailed,"96,890",1.6,32.80,"68,230",0.8,14.82,20.16,28.25,38.92,55.03,"30,830","41,930","58,770","80,950","114,460",,,Middle Income
140,2840.0,technical writers,471.0,27-3042,detailed,"49,960",1.9,35.79,"74,440",0.6,20.39,26.34,34.10,43.77,54.71,"42,410","54,780","70,930","91,050","113,810",,,Middle Income
141,2850.0,writers and authors,472.0,27-3043,detailed,"45,300",1.9,34.67,"72,120",1.2,14.67,21.30,29.72,40.48,57.10,"30,520","44,310","61,820","84,190","118,760",,,Middle Income
142,2860.0,miscellaneous media and communication workers,473.0,27-3090,broad,"74,650",2.7,25.09,"52,190",1.2,12.09,16.27,22.77,30.79,41.40,"25,150","33,840","47,360","64,050","86,100",,,Middle Income
143,2900.0,"broadcast and sound engineering technicians and radio operators, and media and communication equipment workers, all other",,,,,,,,,,,,,,,,,,,,,
144,2910.0,photographers,482.0,27-4020,broad,"49,320",2.0,20.17,"41,940",1.9,9.33,11.15,15.62,24.43,36.09,"19,400","23,190","32,490","50,820","75,080",,,Middle Income
145,2920.0,"television, video, and motion picture camera operators and editors",484.0,27-4030,broad,"51,630",2.9,36.01,"74,890",2.9,13.50,18.83,27.99,41.09,68.04,"28,070","39,170","58,210","85,470","141,520",,,Middle Income
146,3000.0,chiropractors,491.0,29-1010,broad,"33,630",2.5,40.07,"83,350",1.9,16.61,24.54,33.00,47.13,69.58,"34,550","51,040","68,640","98,040","144,730",,,Middle Income
147,3010.0,dentists,493.0,29-1020,broad,"125,300",1.6,86.54,"180,010",1.1,33.65,51.21,76.02,#,#,"70,000","106,520","158,120",#,#,,,High Income
148,3030.0,dietitians and nutritionists,499.0,29-1030,broad,"62,980",1.2,28.92,"60,150",0.4,17.74,22.94,28.56,34.85,39.94,"36,910","47,720","59,410","72,490","83,070",,,Middle Income
149,3040.0,optometrists,501.0,29-1040,broad,"37,240",2.4,57.26,"119,100",1.2,25.84,40.12,53.03,65.51,91.39,"53,740","83,460","110,300","136,270","190,090",,,High Income
